mz,p,1H,2H,12C,13C,14N,15N,16O,17O,18O
871.377864520127,0.643949053111225,58,0,34,0,6,0,20,0,0
872.3748994145814,0.014122954015294113,58,0,34,0,5,1,20,0,0
872.3812193551993,0.23855364667400794,58,0,33,1,6,0,20,0,0
872.3820816570623,0.004918836687720023,58,0,34,0,6,0,19,1,0
872.3841412660091,0.004321778495090147,57,1,34,0,6,0,20,0,0
873.3782542496537,0.005231907968309125,58,0,33,1,5,1,20,0,0
873.382109513423,0.02648425611860586,58,0,34,0,6,0,19,0,1
873.3845741902716,0.042886997042497196,58,0,32,2,6,0,20,0,0
873.3854364921345,0.0018222038274304832,58,0,33,1,6,0,19,1,0
873.3874961010814,0.001601021098082098,57,1,33,1,6,0,20,0,0
874.3854643484952,0.009811204544857966,58,0,33,1,6,0,19,0,1
874.3879290253439,0.004984366808769046,58,0,31,3,6,0,20,0,0
875.3888191835675,0.001763851050550739,58,0,32,2,6,0,19,0,1
